,english,french,translation
0,"Cohesion Policy in Support of Growth and Jobs: Community Strategic Guidelines, 2007-2013 EMPL/6/32476 Draftsperson:","Politique de cohésion pour soutenir la croissance et l’emploi: orientations stratégiques communautaires, 2007-2013 EMPL/6/32476 Rapporteur pour avis:",11.1.2.3.2.1.1.2.1.2.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1
1,Minimising administrative costs imposed by legislation EMPL/6/29246 2005/2140(INI) Draftsperson:,Amendements caducs: Amendements retirés:,2005/2140(INI) Minimiser les coûts administratifs imposés par la loi EMPL/6/29246 2005/2140(INI) Auteur : ### Spanish: Reducir los costos administrativos impuestos por la ley EMPL/6/29246 2005/2140(
2,Ilda Figueiredo - Consideration of a draft opinion - Deadline for tabling amendments: 8.03.2006 12:00 PA - PE 367.759v01-00 PA - PE 362.672v01-00 AM - PE362.808v01-00 AM - PE367.845v01-00,"Ole Christensen - Délai de dépôt des amendements: 20 octobre 2005, à midi - Mise aux voix et adoption d’un projet d’avis Amendements adoptés: Amendements rejetés:","12:00 h, mercredi 8 mars 2006, pour les amendements. 1.2.2006, 12:00 h, pour les amendements. 1.2.2006, 12:00 h, pour les amendements. 1.2.2006, 12:00 h, pour les amendements. 1.2.2006, 12:00 h, pour les amendements. 1.2.2006, 12:00 h, pour les amendements. 1.2.2006, 12:00 h, pour les amendements. 1.2.2006, 12:00 h, pour les amendements. 1.2.2006, 12:00 h, pour les amendements. 1.2.2006, 12:00 h, pour"
3,Dimitrios Papadimoulis PE 369.905v01-00 4/9,Ilda Figueiredo - Examen d’un projet d’avis PE 369.905v01-00 4/10,1. 2. 3. 4. 5. 6. 7. 8. 9. 10. 11. 12. 13. 14. 15. 16. 17. 18. 19. 20. 2
4,"Bernard Lehideux, Elizabeth Lynne, Gabriele Zimmer, Jean Lambert, José Albino Silva Peneda, Marie Panayotopoulos-Cassiotou, Joel Hasse Ferreira, Jean Pierre Bou (Commission), Ona Juknevičienė The meeting closed at 11.30.","Dimitrios Papadimoulis, Jean Lambert, Jan Andersson, Jacek Protasiewicz, Elizabeth Lynne, Jamila Madeira, Marie Panayotopoulos-Cassiotou 12. Développement et migration EMPL/6/32446 COM(2005)0390 - 2005/2244(INI) Rapporteur pour avis:",2007-09-27 17:00 2007-09-27 17:00 2007-09-27 17:00 2007-09-27 17:00 2007-09-27 17:00 2007-09-27 17:00 2007-09-27 17:00 2007-09-27 17:00 2007-09-27 17:00 2007-09-27 17
5,"Thus, the object itself rather than its real image is directly responsible for the rainbow hologram formation making the imaging lens unnecessary. A converging or a diverging spherical wave is used to illuminate the object transparency backed by a ground glass.","Par conséquent, l'objet, une diapositive accolée à un diffuseur, est éclairé par un faisceau convergent ou divergent rendant ainsi inutile l'utilisation d'une lentille pour en former une image réelle.",3.2.2.1.1.2.1.2.1.3.1.3.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.
6,THE USE OF ITC FOR ROAD SAFETY • i2010:,• Informations complémentaires concernant le commerce électronique et la fiscalité EMPLOI DES TIC POUR LA SÉCURITÉ ROUTIÈRE,2008: ### English: THE USE OF ITC FOR ROAD SAFETY • i2010: 2008: ### French: PERSONNEL SANTE ET SÉCURITÉ EN MATI
7,• Electronic payment: Code of conduct,• Paiement électronique: code de bonne conduite,1.1.2.2.2. • E-commerce: Code of conduct ## French: 1.1.2.2.3.
8,• Sixth Framework Programme: Information Society Technologies ENLARGEMENT Applicant countries and the Community acquis,• Sixième Programme-cadre de Recherche: programme Technologies pour la société de l'information (2002-2006) ÉLARGISSEMENT Pays candidats à l'adhésion et acquis communautaire,2.2.2.2.1.2.1.2.2.2.1.2.1.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.
9,"Is it due to commonly identified barriers such as time and costs? Or to past negative experiences of learning, a lack of suitable training options, or a belief that training will not provide adequate returns?","Est-ce à cause des obstacles le plus souvent mentionnés, comme le manque de temps et le coût, ou à de mauvaises expériences passées, à un manque d'options acceptables en matière d'activités de formation ou à la conviction que la formation n'entraînera pas d'avantages marqués.","Êtes-vous confrontés à des obstacles généralement identifiés, comme le temps et les coûts? Ou à des obstacles liés à des expériences passées de formation, à la manque de choix appropriés de formation, ou à une croyance que la formation ne fournit pas de retour suffisant? ### English: What are the specific reasons for the lack of interest in training? How can these barriers be overcome? ###"
10,"Council Decision 95/133/EC: OJ L 89, 21.4.1995; Bull.",Reconduction précédente: décision 95/133/CE du Conseil - JO L 89 du 21.4.1995 et Bull.,"95/133/CE: JO L 89, 21.4.1995; Bull. ### Spanish: Decisión del Consejo 95/133/CE: BOCE L 89, 21.4.1995; Bull. ### German: Ratsentscheid 95/133/"
11,"The course is one of three career courses (all given at CFSATE) necessary for advancement within the Imagery Technician occupation.  Consisting of 10 training days, it is designed to provide the required tools to prepare Image Techs at the Master Corporal/Sergeant level to administer and operate a Wing or Base Imaging Section. The Pilot course wrapped up with the graduation of twelve students.","Ce cours est un des trois cours (tous donnés à l'ETGAFC) qui sont nécessaires à la progression au sein du métier de technicien/technicienne en imagerie.  D'une durée de 10 jours, le cours est conçu pour fournir aux techniciens en imagerie (grade de caporal-chef et sergent) les outils nécessaires à l'administration et à l'opération d'une section d'imagerie de la base ou de l'escadre.","3 cours sont nécessaires pour la promotion dans la catégorie de métier de technicien en image.  Ce cours, ainsi que les deux autres, sont dispensés à l’École des techniciens en image de la Force aérienne.  Il s’agit d’un programme de 10 jours, conçu pour fournir les outils nécessaires aux techniciens en image au grade de caporal-chef ou de sergent, afin qu’ils puissent administrer et gérer une section d’image de base ou de wing.  Après 10 jours de cours, 12 techniciens en image ont été diplômés.   ### English: The course is one of three career courses (all given at CFSATE) necessary for advancement within the Imagery Technician occupation.  Consisting of 10 training days"
12,"The design of the course provides for two Performance Objectives (P.O.): P.O. 401, Manage Imaging Services and P.O. 402, Manage Imaging Resources.  The first week’s training encompassed such topics as Imaging Management Information, Imaging Workflow, Product Quality Control, Customer Service Techniques, organizations, and Financial responsibility.","Le cours pilote, qui s'est terminé avec une remise de diplômes pour 12 stagiaires, comprenait deux objectifs de rendement (OREN): l'OREN 401, Gestion de services d'imagerie, et l'OREN 402, Gestion de ressources d'imagerie.  La première semaine d'instruction comprend des sujets tels que la gestion de services d'imagerie, acheminement du travail, contrôle de la qualité du produit, techniques de service à la clientèle, et responsabilité financière.",1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.
